#[EPOCH_TIME];[DEVICE_NAME];[SENSOR_TYPE];[MEASUREMENT_VALUE]
#LIST OF SENSOR TYPES:
#10:Time (HHMMSS)
#11:Date (YYYYMMDD)
#20:Acceleration (X,Y,Z) (m/s^2)
#50:AirPressure (Pa)
#AB:GpsLatLang(Lat,Lang)
#X:Commands
#Y:CurrentMeasurementNumber
#80:Velocity
#81:RoadQuality
#82:ConnectionEvent
#83:RoadType
1629745654249;LOCAL_PHONE;Y;52
1629745654249;LOCAL_PHONE;80;SL_0
1629745654249;LOCAL_PHONE;83;RT_O
1629745654249;LOCAL_PHONE;81;RS_N
1629745653750;LOCAL_PHONE;11;20210823
1629745653749;LOCAL_PHONE;10;210733
1629745652618;LOCAL_PHONE;AB;52.5557736,13.6339764
1629745653750;LOCAL_PHONE;11;20210823
1629745654285;LOCAL_PHONE;20;0.39,0.15,-0.3
1629745654285;LOCAL_PHONE;20;-0.96,0.1,-0.69
1629745654285;LOCAL_PHONE;20;0.47,-0.02,0.37
1629745654286;LOCAL_PHONE;20;1.22,-0.05,0.05
1629745654299;LOCAL_PHONE;20;-0.53,1.3,-0.61
1629745654302;LOCAL_PHONE;20;0.87,-0.22,-0.19
1629745654312;LOCAL_PHONE;20;-0.37,0.5,-0.58
1629745654322;LOCAL_PHONE;20;-0.31,0.09,0.01
1629745654332;LOCAL_PHONE;20;0.31,-0.41,0.24
1629745654342;LOCAL_PHONE;20;-0.39,0.45,0.42
1629745654352;LOCAL_PHONE;20;0.26,0.19,0.15
1629745654362;LOCAL_PHONE;20;0.16,0.38,-0.63
1629745654372;LOCAL_PHONE;20;0.18,0.16,-0.56
1629745654382;LOCAL_PHONE;20;0.02,-0.32,0.27
1629745654393;LOCAL_PHONE;20;-0.16,0.09,0.85
1629745654402;LOCAL_PHONE;20;-0.39,-0.01,1.16
1629745654412;LOCAL_PHONE;20;-0.33,-0.01,0.7
1629745654423;LOCAL_PHONE;20;-0.42,0.48,0.54
1629745654432;LOCAL_PHONE;20;0.13,0.2,-0.21
1629745654442;LOCAL_PHONE;20;0.0,-0.18,-0.59
1629745654452;LOCAL_PHONE;20;-0.53,-0.01,0.92
1629745654462;LOCAL_PHONE;20;-0.47,-0.19,0.54
1629745654473;LOCAL_PHONE;20;0.2,-0.63,1.19
1629745654482;LOCAL_PHONE;20;-1.06,-0.26,1.67
1629745654492;LOCAL_PHONE;20;-0.41,-0.26,1.25
1629745654502;LOCAL_PHONE;20;-0.65,0.39,0.35
1629745654512;LOCAL_PHONE;20;-0.13,0.58,-0.05
1629745654523;LOCAL_PHONE;20;1.15,0.11,0.03
1629745654532;LOCAL_PHONE;20;-0.27,0.21,-0.49
1629745654542;LOCAL_PHONE;20;0.15,-0.31,-0.45
1629745654553;LOCAL_PHONE;20;0.32,-0.01,0.72
1629745654562;LOCAL_PHONE;20;0.12,0.17,1.71
1629745654573;LOCAL_PHONE;20;0.28,0.41,0.65
1629745654582;LOCAL_PHONE;20;0.57,0.48,-1.27
1629745654584;LOCAL_PHONE;50;950.3131
1629745654593;LOCAL_PHONE;20;0.65,0.33,-0.8
1629745654602;LOCAL_PHONE;20;-0.42,0.06,-1.14
1629745654612;LOCAL_PHONE;20;0.38,-0.13,-0.34
1629745654623;LOCAL_PHONE;20;-0.07,0.05,1.42
