#[EPOCH_TIME];[DEVICE_NAME];[SENSOR_TYPE];[MEASUREMENT_VALUE]
#LIST OF SENSOR TYPES:
#10:Time (HHMMSS)
#11:Date (YYYYMMDD)
#20:Acceleration (X,Y,Z) (m/s^2)
#50:AirPressure (Pa)
#AB:GpsLatLang(Lat,Lang)
#X:Commands
#Y:CurrentMeasurementNumber
#80:Velocity
#81:RoadQuality
#82:ConnectionEvent
#83:RoadType
1629226307576;LOCAL_PHONE;Y;22
1629226307576;LOCAL_PHONE;80;SL_80
1629226307576;LOCAL_PHONE;83;RT_O
1629226307576;LOCAL_PHONE;81;RS_N
1629226306880;LOCAL_PHONE;11;20210817
1629226306880;LOCAL_PHONE;10;205146
1629226307606;LOCAL_PHONE;AB;52.5212294,13.4373375
1629226306880;LOCAL_PHONE;11;20210817
1629226307610;LOCAL_PHONE;20;-0.62,0.17,-2.62
1629226307611;LOCAL_PHONE;20;-0.62,0.0,0.02
1629226307611;LOCAL_PHONE;20;-0.38,-0.45,1.65
1629226307612;LOCAL_PHONE;20;-0.78,-0.2,0.15
1629226307626;LOCAL_PHONE;20;-0.3,0.22,-1.29
1629226307627;LOCAL_PHONE;20;0.37,0.64,-0.39
1629226307633;LOCAL_PHONE;20;-0.08,0.32,0.79
1629226307644;LOCAL_PHONE;20;-0.73,0.02,0.14
1629226307653;LOCAL_PHONE;20;0.23,-0.08,-0.02
1629226307663;LOCAL_PHONE;20;-0.53,-0.5,-0.43
1629226307674;LOCAL_PHONE;20;-0.39,-0.24,0.69
1629226307685;LOCAL_PHONE;20;0.1,-0.01,0.05
1629226307694;LOCAL_PHONE;20;-0.61,0.46,-0.04
1629226307703;LOCAL_PHONE;20;-0.21,0.23,0.26
1629226307714;LOCAL_PHONE;20;-0.52,-0.08,0.21
1629226307724;LOCAL_PHONE;20;0.1,-0.55,0.19
1629226307733;LOCAL_PHONE;20;0.36,-0.58,-0.02
1629226307743;LOCAL_PHONE;20;0.2,-0.1,-0.62
1629226307754;LOCAL_PHONE;20;0.13,0.46,0.3
1629226307764;LOCAL_PHONE;20;0.77,0.72,0.46
1629226307774;LOCAL_PHONE;20;-0.13,0.46,-0.44
1629226307783;LOCAL_PHONE;20;-0.06,-0.02,1.1
