#[EPOCH_TIME];[DEVICE_NAME];[SENSOR_TYPE];[MEASUREMENT_VALUE]
#LIST OF SENSOR TYPES:
#10:Time (HHMMSS)
#11:Date (YYYYMMDD)
#20:Acceleration (X,Y,Z) (m/s^2)
#50:AirPressure (Pa)
#AB:GpsLatLang(Lat,Lang)
#X:Commands
#Y:CurrentMeasurementNumber
#80:Velocity
#81:RoadQuality
#82:ConnectionEvent
#83:RoadType

1629225272053;LOCAL_PHONE;Y;2
1629225272053;LOCAL_PHONE;80;SL_80
1629225272053;LOCAL_PHONE;83;RT_O
1629225272053;LOCAL_PHONE;81;RS_N

1629225271881;LOCAL_PHONE;11;20210817
1629225271880;LOCAL_PHONE;10;203431
1629225269607;LOCAL_PHONE;AB;52.5345653,13.5030504
1629225271881;LOCAL_PHONE;11;20210817
1629225272089;LOCAL_PHONE;20;-0.03,0.18,0.65
1629225272090;LOCAL_PHONE;20;-0.11,-0.13,-1.01
1629225272091;LOCAL_PHONE;20;-0.03,0.15,-1.03
1629225272091;LOCAL_PHONE;20;0.24,0.07,0.49
1629225272091;LOCAL_PHONE;20;0.01,0.01,0.5
1629225272099;LOCAL_PHONE;20;0.04,0.14,-0.25
1629225272104;LOCAL_PHONE;20;0.22,0.21,-0.42
1629225272116;LOCAL_PHONE;20;-0.08,-0.03,-0.13
1629225272123;LOCAL_PHONE;20;-0.11,-0.2,0.95
1629225272133;LOCAL_PHONE;20;0.06,-0.1,-0.05
1629225272143;LOCAL_PHONE;20;0.14,0.16,0.13
1629225272153;LOCAL_PHONE;20;-0.34,0.17,-0.56
1629225272165;LOCAL_PHONE;20;0.37,0.1,0.77
1629225272173;LOCAL_PHONE;20;-0.02,-0.11,0.1
1629225272183;LOCAL_PHONE;20;-0.32,0.08,0.0
1629225272193;LOCAL_PHONE;20;0.46,-0.02,0.07
1629225272204;LOCAL_PHONE;20;-0.08,-0.02,0.28
1629225272216;LOCAL_PHONE;20;0.07,0.21,0.37
1629225272224;LOCAL_PHONE;20;0.2,-0.07,0.25
1629225272233;LOCAL_PHONE;20;-0.12,0.1,0.28
1629225272244;LOCAL_PHONE;20;-0.06,0.0,0.19
1629225272253;LOCAL_PHONE;20;-0.02,0.04,0.34
1629225272266;LOCAL_PHONE;20;0.01,0.07,0.18
1629225272273;LOCAL_PHONE;20;-0.09,0.02,0.2
1629225272284;LOCAL_PHONE;20;0.04,0.16,0.07
1629225272293;LOCAL_PHONE;20;0.43,-0.09,0.36
1629225272303;LOCAL_PHONE;20;-0.22,0.14,0.17
1629225272316;LOCAL_PHONE;20;-0.06,-0.02,-0.01
1629225272324;LOCAL_PHONE;20;0.21,-0.08,0.04
1629225272333;LOCAL_PHONE;20;-0.01,0.07,-0.18
1629225272343;LOCAL_PHONE;20;0.14,-0.16,0.36
1629225272353;LOCAL_PHONE;20;0.21,0.08,0.35
1629225272366;LOCAL_PHONE;20;0.15,0.22,0.07
1629225272373;LOCAL_PHONE;20;0.07,-0.13,0.26
1629225272383;LOCAL_PHONE;20;-0.03,0.16,0.02
1629225272393;LOCAL_PHONE;20;0.35,0.01,-0.15
1629225272404;LOCAL_PHONE;20;-0.29,0.01,0.01
1629225272413;LOCAL_PHONE;20;0.32,0.22,-0.05
1629225272423;LOCAL_PHONE;20;0.06,-0.08,0.34
1629225272433;LOCAL_PHONE;20;-0.28,0.17,-0.47
1629225272444;LOCAL_PHONE;20;0.37,-0.1,0.5
1629225272453;LOCAL_PHONE;20;-0.16,-0.07,0.0
1629225272463;LOCAL_PHONE;20;-0.34,-0.01,0.08
1629225272473;LOCAL_PHONE;20;0.18,-0.03,0.3
1629225272484;LOCAL_PHONE;20;-0.14,0.14,0.01
1629225272493;LOCAL_PHONE;20;-0.13,0.13,-0.14
1629225272503;LOCAL_PHONE;20;0.33,-0.01,0.24
1629225272513;LOCAL_PHONE;20;-0.07,0.13,0.05
1629225272524;LOCAL_PHONE;20;0.08,-0.14,0.1
1629225272534;LOCAL_PHONE;20;0.1,0.08,0.53
1629225272543;LOCAL_PHONE;20;-0.15,-0.04,-0.07
1629225272554;LOCAL_PHONE;20;0.44,0.02,0.27
1629225272564;LOCAL_PHONE;20;-0.02,0.06,-0.15
1629225272573;LOCAL_PHONE;20;0.03,-0.12,0.19
1629225272583;LOCAL_PHONE;20;0.3,0.08,0.06
1629225272593;LOCAL_PHONE;20;-0.19,0.08,0.02
1629225272605;LOCAL_PHONE;20;0.28,-0.02,0.17
1629225272607;LOCAL_PHONE;AB;52.5345312,13.5024323
1629225272613;LOCAL_PHONE;20;0.49,0.07,0.23
1629225272623;LOCAL_PHONE;20;-0.29,0.04,-0.01
1629225272633;LOCAL_PHONE;20;0.36,-0.02,0.0
1629225272644;LOCAL_PHONE;20;0.01,-0.05,0.01
1629225272653;LOCAL_PHONE;20;-0.26,-0.09,-0.19
1629225272663;LOCAL_PHONE;20;0.2,0.17,0.14
1629225272674;LOCAL_PHONE;20;-0.07,0.1,0.25
1629225272684;LOCAL_PHONE;20;-0.01,0.18,-0.06
1629225272694;LOCAL_PHONE;20;0.03,-0.15,0.49
1629225272703;LOCAL_PHONE;20;-0.07,-0.08,-0.06
1629225272713;LOCAL_PHONE;20;0.37,0.14,0.62
1629225272724;LOCAL_PHONE;20;-0.16,-0.01,-0.16
1629225272734;LOCAL_PHONE;20;-0.15,0.13,0.11
1629225272743;LOCAL_PHONE;20;0.32,-0.08,0.35
1629225272753;LOCAL_PHONE;20;-0.37,0.0,-0.01
1629225272764;LOCAL_PHONE;20;0.18,-0.04,0.0
1629225272773;LOCAL_PHONE;20;0.49,-0.02,0.51
1629225272783;LOCAL_PHONE;20;-0.26,0.02,-0.21
1629225272793;LOCAL_PHONE;20;0.06,-0.08,0.39
1629225272803;LOCAL_PHONE;20;0.34,-0.05,0.2
1629225272813;LOCAL_PHONE;20;-0.14,0.08,0.18
1629225272823;LOCAL_PHONE;20;0.04,0.08,-0.31
1629225272834;LOCAL_PHONE;20;0.52,0.02,0.57
1629225272844;LOCAL_PHONE;20;-0.42,0.07,-0.46
1629225272853;LOCAL_PHONE;20;0.12,-0.06,0.32
1629225272863;LOCAL_PHONE;20;0.25,0.13,0.24
1629225272873;LOCAL_PHONE;20;-0.22,0.04,0.23
1629225272880;LOCAL_PHONE;10;203432
1629225272881;LOCAL_PHONE;11;20210817
1629225272885;LOCAL_PHONE;20;-0.16,0.11,-0.23
1629225272893;LOCAL_PHONE;20;0.2,-0.02,0.24
1629225272903;LOCAL_PHONE;20;-0.26,-0.02,-0.34
1629225272913;LOCAL_PHONE;20;0.08,0.03,0.21
1629225272924;LOCAL_PHONE;20;0.31,0.14,0.01
1629225272935;LOCAL_PHONE;20;0.28,0.1,0.05
1629225272943;LOCAL_PHONE;20;-0.01,0.08,-0.03
1629225272953;LOCAL_PHONE;20;0.26,0.08,-0.08
1629225272964;LOCAL_PHONE;20;0.11,0.06,-0.1
1629225272973;LOCAL_PHONE;20;0.02,0.03,-0.06
1629225272985;LOCAL_PHONE;20;0.15,0.02,0.13
1629225272993;LOCAL_PHONE;20;-0.22,0.01,0.34
1629225273004;LOCAL_PHONE;20;-0.19,0.13,-0.19
1629225273014;LOCAL_PHONE;20;0.13,-0.04,0.12
1629225273023;LOCAL_PHONE;20;-0.08,-0.08,-0.14
1629225273035;LOCAL_PHONE;20;-0.03,-0.12,0.25
1629225273045;LOCAL_PHONE;20;0.16,0.11,0.04
1629225273053;LOCAL_PHONE;20;-0.19,0.18,-0.08
1629225273063;LOCAL_PHONE;20;-0.01,-0.07,0.33
1629225273073;LOCAL_PHONE;20;-0.08,-0.1,-0.07
1629225273086;LOCAL_PHONE;20;0.0,0.07,0.09
1629225273094;LOCAL_PHONE;20;0.2,-0.11,0.03
1629225273104;LOCAL_PHONE;20;-0.29,0.06,0.13
1629225273113;LOCAL_PHONE;20;-0.03,0.01,0.14
1629225273124;LOCAL_PHONE;20;0.04,0.13,-0.14
1629225273135;LOCAL_PHONE;20;0.34,0.03,0.16
1629225273143;LOCAL_PHONE;20;-0.09,-0.02,-0.1
1629225273153;LOCAL_PHONE;20;0.27,0.18,0.22
1629225273164;LOCAL_PHONE;20;-0.01,0.08,-0.01
1629225273173;LOCAL_PHONE;20;0.06,0.11,-0.23
1629225273183;LOCAL_PHONE;20;0.37,0.03,0.4
1629225273193;LOCAL_PHONE;20;0.06,-0.09,-0.52
1629225273205;LOCAL_PHONE;20;-0.12,0.13,0.0
1629225273213;LOCAL_PHONE;20;0.13,-0.2,0.3
1629225273223;LOCAL_PHONE;20;-0.22,0.2,-0.1
1629225273233;LOCAL_PHONE;20;0.1,-0.13,0.23
1629225273244;LOCAL_PHONE;20;0.31,0.08,0.39
1629225273254;LOCAL_PHONE;20;-0.27,0.09,-0.06
1629225273264;LOCAL_PHONE;20;0.1,-0.11,0.5
1629225273273;LOCAL_PHONE;20;-0.07,0.07,-0.11
1629225273283;LOCAL_PHONE;20;0.02,0.19,0.2
1629225273293;LOCAL_PHONE;20;0.2,0.07,0.38
1629225273304;LOCAL_PHONE;20;-0.16,0.07,-0.11
1629225273313;LOCAL_PHONE;20;-0.15,-0.11,0.89
1629225273324;LOCAL_PHONE;20;0.1,-0.07,-0.1
1629225273333;LOCAL_PHONE;20;-0.1,0.02,0.7
1629225273343;LOCAL_PHONE;20;-0.34,0.03,-0.06
1629225273353;LOCAL_PHONE;20;0.27,0.16,0.34
1629225273364;LOCAL_PHONE;20;-0.24,0.05,0.33
1629225273373;LOCAL_PHONE;20;-0.12,0.17,0.28
1629225273383;LOCAL_PHONE;20;0.41,0.26,0.82
1629225273393;LOCAL_PHONE;20;-0.39,0.18,-0.11
1629225273404;LOCAL_PHONE;20;0.08,0.31,0.01
1629225273413;LOCAL_PHONE;20;0.33,-0.02,0.33
1629225273423;LOCAL_PHONE;20;-0.17,0.26,-0.12
1629225273433;LOCAL_PHONE;20;0.13,0.1,0.2
1629225273444;LOCAL_PHONE;20;0.13,0.08,0.39
1629225273453;LOCAL_PHONE;20;-0.28,0.13,-0.28
1629225273464;LOCAL_PHONE;20;0.04,-0.12,0.63
1629225273473;LOCAL_PHONE;20;0.13,0.07,-0.04
1629225273484;LOCAL_PHONE;20;0.0,0.08,0.19
1629225273493;LOCAL_PHONE;20;0.41,0.15,0.05
1629225273504;LOCAL_PHONE;20;0.18,0.18,-0.08
1629225273513;LOCAL_PHONE;20;-0.17,0.03,0.12
1629225273524;LOCAL_PHONE;20;0.33,0.06,-0.09
1629225273533;LOCAL_PHONE;20;-0.13,-0.06,0.4
1629225273544;LOCAL_PHONE;20;-0.3,-0.07,-0.14
1629225273554;LOCAL_PHONE;20;0.32,-0.07,0.41
1629225273564;LOCAL_PHONE;20;-0.17,0.15,0.12
1629225273574;LOCAL_PHONE;20;-0.08,0.0,-0.03
1629225273583;LOCAL_PHONE;20;0.36,0.05,0.61
1629225273594;LOCAL_PHONE;20;-0.35,0.02,-0.37
1629225273605;LOCAL_PHONE;20;0.14,-0.03,0.32
1629225273613;LOCAL_PHONE;20;0.14,0.01,-0.03
1629225273623;LOCAL_PHONE;20;-0.07,-0.04,0.07
1629225273633;LOCAL_PHONE;20;0.1,0.11,0.2
1629225273644;LOCAL_PHONE;20;0.17,-0.04,-0.25
1629225273655;LOCAL_PHONE;20;-0.15,-0.1,0.53
1629225273663;LOCAL_PHONE;20;-0.11,-0.1,-0.16
1629225273673;LOCAL_PHONE;20;0.2,-0.09,0.22
1629225273685;LOCAL_PHONE;20;-0.12,0.05,0.03
1629225273693;LOCAL_PHONE;20;0.19,0.03,0.05
1629225273705;LOCAL_PHONE;20;0.12,0.0,0.48
1629225273713;LOCAL_PHONE;20;0.03,0.14,-0.31
1629225273724;LOCAL_PHONE;20;0.42,0.02,0.16
1629225273733;LOCAL_PHONE;20;0.04,-0.09,0.28
1629225273743;LOCAL_PHONE;20;-0.22,-0.03,-0.27
1629225273755;LOCAL_PHONE;20;0.06,-0.01,0.47
1629225273763;LOCAL_PHONE;20;-0.37,-0.04,-0.02
1629225273773;LOCAL_PHONE;20;-0.11,0.0,0.53
1629225273783;LOCAL_PHONE;20;0.01,-0.03,0.16
1629225273794;LOCAL_PHONE;20;0.01,0.13,0.13
1629225273806;LOCAL_PHONE;20;-0.14,-0.04,0.33
1629225273813;LOCAL_PHONE;20;0.16,-0.12,0.4
1629225273823;LOCAL_PHONE;20;-0.49,0.05,0.36
1629225273833;LOCAL_PHONE;20;0.03,0.03,-0.06
1629225273844;LOCAL_PHONE;20;0.3,0.11,0.39
1629225273855;LOCAL_PHONE;20;-0.45,-0.04,-0.33
1629225273863;LOCAL_PHONE;20;0.14,-0.05,0.14
1629225273873;LOCAL_PHONE;20;-0.1,0.11,0.52
1629225273880;LOCAL_PHONE;10;203433
