#[EPOCH_TIME];[DEVICE_NAME];[SENSOR_TYPE];[MEASUREMENT_VALUE]
#LIST OF SENSOR TYPES:
#10:Time (HHMMSS)
#11:Date (YYYYMMDD)
#20:Acceleration (X,Y,Z) (m/s^2)
#50:AirPressure (Pa)
#AB:GpsLatLang(Lat,Lang)
#X:Commands
#Y:CurrentMeasurementNumber
#80:Velocity
#81:RoadQuality
#82:ConnectionEvent
#83:RoadType
1630523701756;LOCAL_PHONE;Y;72
1630523701756;LOCAL_PHONE;80;SL_0
1630523701756;LOCAL_PHONE;83;RT_O
1630523701756;LOCAL_PHONE;81;RS_N
1630523701264;LOCAL_PHONE;11;20210901
1630523701264;LOCAL_PHONE;10;211501
1630523701048;LOCAL_PHONE;AB;52.5112335,13.499227
1630523701264;LOCAL_PHONE;11;20210901
1630523701784;LOCAL_PHONE;20;-0.21,-0.19,-0.34
1630523701785;LOCAL_PHONE;20;0.5,-0.04,0.38
1630523701785;LOCAL_PHONE;20;-0.39,-0.15,-0.92
1630523701785;LOCAL_PHONE;20;-0.34,-0.02,0.51
1630523701785;LOCAL_PHONE;20;0.03,-0.26,1.24
1630523701799;LOCAL_PHONE;20;0.0,0.1,-0.41
1630523701806;LOCAL_PHONE;20;-0.02,0.05,-0.81
1630523701815;LOCAL_PHONE;20;-0.01,-0.03,0.05
1630523701825;LOCAL_PHONE;20;-0.02,-0.36,0.2
1630523701835;LOCAL_PHONE;20;-0.18,0.16,0.14
1630523701845;LOCAL_PHONE;20;0.04,-0.05,-0.26
1630523701855;LOCAL_PHONE;20;0.22,-0.04,0.3
1630523701865;LOCAL_PHONE;20;-0.48,-0.02,-0.04
1630523701875;LOCAL_PHONE;20;0.14,-0.02,-0.16
1630523701885;LOCAL_PHONE;20;0.22,-0.23,0.11
1630523701895;LOCAL_PHONE;20;-0.52,0.12,-0.35
1630523701906;LOCAL_PHONE;20;-0.06,-0.49,0.22
1630523701915;LOCAL_PHONE;20;0.08,0.27,0.75
1630523701925;LOCAL_PHONE;20;-0.33,-0.21,-0.64
1630523701935;LOCAL_PHONE;20;0.35,0.18,0.22
1630523701945;LOCAL_PHONE;20;0.26,0.07,-0.18
1630523701956;LOCAL_PHONE;20;-0.24,-0.15,0.05
1630523701965;LOCAL_PHONE;20;-0.08,-0.01,0.04
1630523701975;LOCAL_PHONE;20;0.26,0.03,0.57
1630523701985;LOCAL_PHONE;20;-0.3,-0.2,-0.22
1630523701995;LOCAL_PHONE;20;0.12,-0.09,0.12
1630523702006;LOCAL_PHONE;20;0.13,-0.02,0.63
1630523702015;LOCAL_PHONE;20;-0.34,-0.05,-0.34
1630523702025;LOCAL_PHONE;20;-0.06,-0.04,-0.22
1630523702035;LOCAL_PHONE;20;0.01,-0.01,0.12
1630523702045;LOCAL_PHONE;20;-0.13,0.03,-0.32
1630523702055;LOCAL_PHONE;20;0.24,-0.05,0.33
1630523702065;LOCAL_PHONE;20;0.49,-0.17,0.16
1630523702075;LOCAL_PHONE;20;0.14,0.09,0.08
1630523702085;LOCAL_PHONE;20;-0.2,0.02,0.4
1630523702095;LOCAL_PHONE;20;0.02,-0.04,0.4
1630523702106;LOCAL_PHONE;20;-0.23,-0.05,-0.34
1630523702115;LOCAL_PHONE;20;-0.25,0.13,-0.26
1630523702125;LOCAL_PHONE;20;-0.16,-0.35,0.04
1630523702135;LOCAL_PHONE;20;-0.33,-0.02,0.48
1630523702145;LOCAL_PHONE;20;-0.18,-0.12,0.05
1630523702157;LOCAL_PHONE;20;0.07,0.04,0.56
1630523702165;LOCAL_PHONE;20;-0.56,0.07,0.04
1630523702175;LOCAL_PHONE;20;-0.14,-0.39,-0.14
1630523702185;LOCAL_PHONE;20;0.15,-0.13,0.59
1630523702195;LOCAL_PHONE;20;-0.44,-0.23,0.01
1630523702206;LOCAL_PHONE;20;0.33,-0.13,0.23
1630523702215;LOCAL_PHONE;20;-0.09,-0.04,0.87
1630523702225;LOCAL_PHONE;20;-0.58,-0.03,-0.45
1630523702235;LOCAL_PHONE;20;0.19,0.15,0.48
1630523702245;LOCAL_PHONE;20;-0.51,0.02,0.23
1630523702257;LOCAL_PHONE;20;-0.35,-0.27,-0.87
1630523702264;LOCAL_PHONE;10;211502
1630523702265;LOCAL_PHONE;11;20210901
1630523702265;LOCAL_PHONE;20;0.02,0.19,0.6
1630523702275;LOCAL_PHONE;20;-0.47,-0.04,-0.25
1630523702285;LOCAL_PHONE;20;0.47,-0.15,0.61
1630523702295;LOCAL_PHONE;20;-0.15,0.04,1.19
1630523702302;LOCAL_PHONE;50;954.5609
1630523702306;LOCAL_PHONE;20;-0.05,-0.08,-0.36
1630523702315;LOCAL_PHONE;20;0.65,0.01,1.14
1630523702325;LOCAL_PHONE;20;-0.6,0.03,-0.09
1630523702335;LOCAL_PHONE;20;0.06,-0.08,-0.52
1630523702345;LOCAL_PHONE;20;0.45,0.17,0.34
1630523702357;LOCAL_PHONE;20;-0.43,0.02,-0.27
1630523702365;LOCAL_PHONE;20;-0.15,0.04,0.19
1630523702375;LOCAL_PHONE;20;-0.12,0.08,0.47
1630523702385;LOCAL_PHONE;20;-0.28,-0.01,-0.3
1630523702395;LOCAL_PHONE;20;0.59,0.02,0.37
1630523702408;LOCAL_PHONE;20;0.21,-0.03,0.43
1630523702415;LOCAL_PHONE;20;-0.24,-0.08,-0.48
1630523702426;LOCAL_PHONE;20;0.34,0.1,-0.13
1630523702435;LOCAL_PHONE;20;-0.12,-0.1,0.45
1630523702445;LOCAL_PHONE;20;-0.6,0.0,-0.4
1630523702458;LOCAL_PHONE;20;0.21,0.16,0.13
1630523702465;LOCAL_PHONE;20;0.26,0.07,0.33
1630523702475;LOCAL_PHONE;20;-0.62,0.12,-0.64
1630523702485;LOCAL_PHONE;20;0.32,0.12,-0.1
1630523702495;LOCAL_PHONE;20;-0.06,-0.31,0.0
1630523702508;LOCAL_PHONE;20;-0.87,-0.41,-0.37
1630523702515;LOCAL_PHONE;20;-0.1,-0.2,0.67
1630523702525;LOCAL_PHONE;20;0.09,-0.05,1.03
1630523702535;LOCAL_PHONE;20;-0.47,0.04,-0.38
1630523702545;LOCAL_PHONE;20;-0.06,0.12,0.77
1630523702555;LOCAL_PHONE;20;0.27,0.06,-0.25
1630523702565;LOCAL_PHONE;20;-0.05,0.03,-0.23
1630523702575;LOCAL_PHONE;20;0.04,-0.06,-0.23
1630523702585;LOCAL_PHONE;20;0.52,0.17,0.54
1630523702595;LOCAL_PHONE;20;-0.21,0.24,-0.36
1630523702605;LOCAL_PHONE;20;0.35,0.3,-0.74
1630523702615;LOCAL_PHONE;20;0.48,-0.07,0.46
1630523702626;LOCAL_PHONE;20;-0.58,-0.06,-0.23
1630523702635;LOCAL_PHONE;20;0.2,-0.09,-0.26
1630523702645;LOCAL_PHONE;20;0.57,0.14,0.66
1630523702655;LOCAL_PHONE;20;-0.2,0.21,-0.37
1630523702665;LOCAL_PHONE;20;0.17,0.18,-0.42
1630523702675;LOCAL_PHONE;20;0.45,0.08,0.55
1630523702685;LOCAL_PHONE;20;-0.29,-0.17,-0.63
1630523702695;LOCAL_PHONE;20;-0.5,0.02,0.17
1630523702705;LOCAL_PHONE;20;0.82,-0.16,0.76
1630523702715;LOCAL_PHONE;20;0.17,0.0,0.78
1630523702725;LOCAL_PHONE;20;-0.56,0.09,-0.33
1630523702735;LOCAL_PHONE;20;0.73,-0.06,1.1
1630523702745;LOCAL_PHONE;20;-0.3,0.11,0.29
1630523702755;LOCAL_PHONE;20;-0.91,-0.14,-0.8
1630523702765;LOCAL_PHONE;20;0.56,0.11,1.14
1630523702775;LOCAL_PHONE;20;-0.06,0.08,0.14
1630523702785;LOCAL_PHONE;20;-0.02,0.11,-0.59
1630523702795;LOCAL_PHONE;20;0.67,0.12,0.55
1630523702805;LOCAL_PHONE;20;-0.56,-0.12,-0.56
1630523702815;LOCAL_PHONE;20;-0.3,-0.14,-0.24
1630523702826;LOCAL_PHONE;20;0.62,-0.08,0.49
1630523702835;LOCAL_PHONE;20;-0.08,0.08,0.11
1630523702845;LOCAL_PHONE;20;-0.08,0.01,-0.29
1630523702855;LOCAL_PHONE;20;0.64,-0.02,0.71
1630523702865;LOCAL_PHONE;20;-0.14,-0.12,0.2
1630523702876;LOCAL_PHONE;20;-0.62,0.19,-0.69
1630523702885;LOCAL_PHONE;20;0.58,0.05,0.04
1630523702895;LOCAL_PHONE;20;-0.03,0.02,0.35
1630523702905;LOCAL_PHONE;20;-0.39,0.1,-1.08
1630523702915;LOCAL_PHONE;20;1.02,-0.14,1.37
1630523702927;LOCAL_PHONE;20;-0.17,-0.1,0.65
1630523702935;LOCAL_PHONE;20;-0.44,-0.01,-0.96
1630523702945;LOCAL_PHONE;20;0.86,-0.03,1.64
1630523702955;LOCAL_PHONE;20;-0.34,-0.13,-0.21
1630523702965;LOCAL_PHONE;20;-0.26,0.19,-0.73
1630523702977;LOCAL_PHONE;20;0.58,0.01,0.7
1630523702985;LOCAL_PHONE;20;-0.21,0.07,-0.54
1630523702995;LOCAL_PHONE;20;-0.06,0.17,-0.43
1630523703005;LOCAL_PHONE;20;0.52,-0.02,0.52
1630523703015;LOCAL_PHONE;20;-0.41,0.3,-0.42
1630523703027;LOCAL_PHONE;20;-0.1,-0.27,-0.28
1630523703035;LOCAL_PHONE;20;0.03,0.06,0.26
1630523703045;LOCAL_PHONE;20;-0.62,-0.17,-0.49
1630523703055;LOCAL_PHONE;20;-0.04,-0.11,0.66
1630523703065;LOCAL_PHONE;20;0.36,0.12,0.18
1630523703077;LOCAL_PHONE;20;-0.42,0.02,-0.17
1630523703085;LOCAL_PHONE;20;-0.3,0.05,0.25
1630523703095;LOCAL_PHONE;20;-0.03,-0.03,0.07
1630523703105;LOCAL_PHONE;20;0.06,0.1,-0.07
1630523703116;LOCAL_PHONE;20;-0.04,-0.08,-0.34
1630523703128;LOCAL_PHONE;20;0.15,0.16,0.26
1630523703135;LOCAL_PHONE;20;-0.04,-0.07,0.13
1630523703145;LOCAL_PHONE;20;0.22,0.05,0.05
1630523703155;LOCAL_PHONE;20;-0.22,0.18,0.56
1630523703165;LOCAL_PHONE;20;0.0,0.11,-0.4
1630523703178;LOCAL_PHONE;20;0.4,0.05,0.3
1630523703185;LOCAL_PHONE;20;-0.45,-0.05,0.06
1630523703196;LOCAL_PHONE;20;-0.06,0.15,-0.65
1630523703205;LOCAL_PHONE;20;0.29,0.05,0.71
1630523703215;LOCAL_PHONE;20;-0.46,-0.05,-0.39
1630523703228;LOCAL_PHONE;20;-0.12,0.04,-0.48
1630523703235;LOCAL_PHONE;20;0.25,0.11,0.67
1630523703246;LOCAL_PHONE;20;-0.3,-0.13,-0.38
1630523703255;LOCAL_PHONE;20;-0.01,0.04,-0.19
1630523703264;LOCAL_PHONE;10;211503
1630523703265;LOCAL_PHONE;11;20210901
1630523703265;LOCAL_PHONE;20;0.42,0.07,0.59
1630523703278;LOCAL_PHONE;20;-0.25,-0.1,-0.25
1630523703285;LOCAL_PHONE;20;0.17,0.21,-0.31
1630523703295;LOCAL_PHONE;20;0.73,0.14,0.54
1630523703302;LOCAL_PHONE;50;954.1139
1630523703305;LOCAL_PHONE;20;-0.01,0.44,-0.5
1630523703315;LOCAL_PHONE;20;-0.02,0.02,-0.74
1630523703325;LOCAL_PHONE;20;0.34,-0.08,0.58
1630523703335;LOCAL_PHONE;20;-0.47,0.0,-0.67
1630523703346;LOCAL_PHONE;20;-0.07,0.04,-0.4
1630523703355;LOCAL_PHONE;20;0.24,0.06,0.02
1630523703365;LOCAL_PHONE;20;-0.19,0.09,-0.9
1630523703375;LOCAL_PHONE;20;0.36,-0.04,0.06
1630523703386;LOCAL_PHONE;20;0.32,0.05,0.08
1630523703395;LOCAL_PHONE;20;-0.3,0.13,-0.68
1630523703405;LOCAL_PHONE;20;0.44,0.21,-0.27
1630523703415;LOCAL_PHONE;20;0.34,0.32,-0.18
1630523703425;LOCAL_PHONE;20;-0.25,0.3,-1.24
1630523703435;LOCAL_PHONE;20;0.82,0.31,-0.54
1630523703446;LOCAL_PHONE;20;0.59,0.24,-0.51
1630523703455;LOCAL_PHONE;20;0.6,-0.08,-0.25
1630523703465;LOCAL_PHONE;20;0.24,0.39,0.9
1630523703475;LOCAL_PHONE;20;0.45,-0.61,-0.07
1630523703485;LOCAL_PHONE;20;-1.71,-0.65,0.77
1630523703496;LOCAL_PHONE;20;-2.53,-0.45,-1.09
1630523703505;LOCAL_PHONE;20;-1.29,-0.23,-0.33
1630523703515;LOCAL_PHONE;20;-0.56,-0.45,-1.06
1630523703525;LOCAL_PHONE;20;0.26,0.37,-0.43
1630523703535;LOCAL_PHONE;20;1.33,0.25,0.35
1630523703546;LOCAL_PHONE;20;1.3,0.76,0.87
1630523703555;LOCAL_PHONE;20;0.65,0.95,-0.83
1630523703565;LOCAL_PHONE;20;0.87,0.7,-0.66
1630523703575;LOCAL_PHONE;20;0.24,-0.47,0.18
1630523703586;LOCAL_PHONE;20;-0.99,-0.2,-1.55
1630523703597;LOCAL_PHONE;20;0.32,-0.02,0.21
1630523703605;LOCAL_PHONE;20;0.93,0.43,0.66
1630523703615;LOCAL_PHONE;20;0.07,0.96,-0.81
1630523703626;LOCAL_PHONE;20;0.08,-0.01,-0.32
1630523703635;LOCAL_PHONE;20;0.51,0.41,-0.6
1630523703646;LOCAL_PHONE;20;-0.34,-0.1,-1.11
1630523703655;LOCAL_PHONE;20;0.21,-0.08,-1.22
1630523703665;LOCAL_PHONE;20;0.66,-0.53,0.1
1630523703675;LOCAL_PHONE;20;-0.5,0.02,0.08
1630523703686;LOCAL_PHONE;20;0.05,-0.64,0.0
1630523703697;LOCAL_PHONE;20;0.79,0.42,1.92
1630523703705;LOCAL_PHONE;20;-1.27,-0.02,-0.89
1630523703715;LOCAL_PHONE;20;-0.09,0.32,-0.53
1630523703725;LOCAL_PHONE;20;0.04,0.26,0.19
1630523703735;LOCAL_PHONE;20;-0.62,0.17,-1.47
1630523703747;LOCAL_PHONE;20;1.12,-0.23,0.39
1630523703756;LOCAL_PHONE;20;0.89,-0.41,1.1
1630523703765;LOCAL_PHONE;20;0.53,0.54,-0.91
1630523703775;LOCAL_PHONE;20;-0.06,-0.15,0.15
1630523703785;LOCAL_PHONE;20;1.77,0.21,0.99
1630523703797;LOCAL_PHONE;20;-0.31,0.01,0.0
1630523703805;LOCAL_PHONE;20;-0.83,-0.2,-1.15
1630523703815;LOCAL_PHONE;20;1.97,-0.02,1.67
1630523703825;LOCAL_PHONE;20;-0.97,0.1,-0.13
1630523703835;LOCAL_PHONE;20;-0.79,0.37,-1.75
1630523703847;LOCAL_PHONE;20;1.29,-0.05,2.18
1630523703856;LOCAL_PHONE;20;-1.27,0.13,-0.86
1630523703866;LOCAL_PHONE;20;-1.19,-0.01,-2.18
1630523703875;LOCAL_PHONE;20;0.96,-0.41,2.99
1630523703885;LOCAL_PHONE;20;-1.02,-0.1,0.2
1630523703898;LOCAL_PHONE;20;-0.2,0.05,-0.4
1630523703905;LOCAL_PHONE;20;1.08,0.18,2.72
1630523703915;LOCAL_PHONE;20;-0.24,0.31,-0.48
1630523703925;LOCAL_PHONE;20;-0.05,0.11,-0.26
1630523703935;LOCAL_PHONE;20;0.64,0.05,0.65
1630523703948;LOCAL_PHONE;20;-0.44,-0.07,-0.18
1630523703955;LOCAL_PHONE;20;-0.32,0.14,-0.22
